"suburb","listing_type","quartos","qtd","dm_mediana","dm_media","dm_p25","dm_p75","g_mediana"
"Meia Praia","apartamento","3","273","697","707,88","520","842","8"
"Meia Praia","apartamento","2","156","450","482,85","380","585,3333","6"
"Centro","apartamento","1","76","450","467,75","378","536,5","4"
"Centro","apartamento","2","61","583,3333","600,79","399","715","6"
"Meia Praia","apartamento","4","47","900","1215,59","849,5","1604","10"
"Morretes","apartamento","2","43","464","470,56","350","550","5"
"Centro","apartamento","3","39","750","784,86","518","897","8"
"Meia Praia","apartamento","1","17","490","465,53","400","545","4"
"Casa Branca","apartamento","2","11","350","361,27","280","400","5"
"Tabuleiro dos Oliveiras","apartamento","2","10","550","509","399","644","6"
