"suburb","qtd","dm_mediana","dm_media","dm_p25","dm_p75","br_mediana","g_mediana","dts_mediana"
"Meia Praia","524","595","668,62","450","800","3","7","64"
"Centro","189","509","598,81","385","715","2","5","73"
"Morretes","69","471","521,95","350","600","2","6","65"
"Tabuleiro dos Oliveiras","17","560","676,12","400","670","2","6","73"
"Casa Branca","14","350","362,86","300","400","2","5","63"
"Ilhota","9","500","540,11","350","590","2","8","73"
"Canto da Praia","6","600","631,67","518","793","2","6","82"
"Alto Sao Bento","5","280","711,8","199","400","1","4","62"
"Sertaozinho","5","500","640,05","369","500","2","5","84"
"none","3","709","699,67","590","800","1","2","52"
"Sertao do Trombudo","3","390","586,67","370","1000","1","2","75"
"Varzea","2","1500","845","190","1500","5","15","102"
"Leopoldo Zarling","1","200","200","200","200","1","2","70"
"Jardim Praiamar","1","200","200","200","200","1","4","60"
"Areal","1","556","556","556","556","1","2","37"
