"airbnb_listing_id","datas_estadia","diaria_mediana","diaria_media","diaria_p25","diaria_p75","potencial_bruto_anunciado","suburb","listing_type","number_of_bedrooms","number_of_bathrooms","number_of_beds","number_of_guests","number_of_reviews","star_rating","is_professional","can_instant_book","is_guest_favorite","cleaning_fee","min_nights"
"881204142086821328","68","550","558,24","550","670","37960","Meia Praia","apartamento","3","2.0","3","7","43","4.980000019073486","false","true","true","200.0","0"
"39051477","92","1500","1543,04","1440","1530","141959,33","Meia Praia","apartamento","4","4.0","4","10","10","4.800000190734863","false","false","false","450.0","0"
"22648075","65","348","396,66","348","456","25783","Centro","apartamento","2","2.0","5","6","16","5.0","false","false","false","150.0","0"
"748336742434217963","44","450","457,14","450","450","20114","Meia Praia","apartamento","2","1.0","3","6","45","4.869999885559082","false","true","true","200.0","0"
"1226856286781952840","86","732","707,18","601,5","802","60817,5","Centro","apartamento","2","1.0","3","5","12","4.579999923706055","true","true","false","220.0","0"
"41676390","90","600","608,01","600","600","54720,5","Meia Praia","apartamento","2","2.0","2","6","20","4.949999809265137","false","false","false","250.0","0"
"40289385","62","2500","2586,4","2500","2500","160356,5","Alto Sao Bento","casa","12","13.0","34","16","15","4.670000076293945","false","false","false","700.0","0"
"42735835","11","200","227","200","299","2497","Meia Praia","apartamento","2","2.0","7","5","87","4.849999904632568","false","false","true","250.0","0"
"1004910078575857573","27","750","753,24","700","792,5","20337,5","Meia Praia","apartamento","3","2.0","5","7","12","5.0","false","false","true","300.0","0"
"957349094500016515","82","699","583,24","400","699","47825,5","Centro","apartamento","2","2.0","2","6","11","4.909999847412109","false","true","true","200.0","0"
"786307999394390316","72","550","595,71","550","600","42891","Meia Praia","apartamento","2","2.0","2","6","14","4.860000133514404","false","false","true","300.0","0"
"900757690500508426","60","795","645,97","475","795","38758","Meia Praia","apartamento","2","2.0","2","8","22","4.949999809265137","true","false","true","350.0","0"
"705946468067026302","60","380","439","300","480","26340","Meia Praia","apartamento","2","2.0","4","6","22","5.0","false","false","true","300.0","0"
"31141252","38","300","402,63","300","500","15300","Meia Praia","apartamento","2","2.0","3","5","84","4.960000038146973","false","true","true","250.0","0"
"1074829679064875721","6","749","749","749","749","4494","Meia Praia","apartamento","3","3.0","4","8","10","5.0","false","false","true","0.0","0"
"12067632","34","718","693,18","580","770","23568","Meia Praia","apartamento","3","3.0","3","8","21","5.0","false","false","true","350.0","0"
"1268755217310742256","37","800","791,35","800","800","29280","Meia Praia","apartamento","2","2.0","2","4","0","0.0","false","false","false","300.0","0"
"6569062","104","750","738,66","675","800","76820,53","Meia Praia","apartamento","3","2.0","3","6","21","4.949999809265137","false","false","true","250.0","0"
"38695314","62","550","603,29","380","800","37404","Meia Praia","apartamento","3","3.0","5","9","62","4.849999904632568","false","false","true","200.0","0"
"703678241822238330","60","300","321,23","300","300","19274","Meia Praia","apartamento","2","1.0","4","5","15","4.929999828338623","false","false","true","300.0","0"
"681894806923375678","39","648","773,95","592","1029","30184","Meia Praia","apartamento","3","4.0","3","8","19","5.0","false","false","true","300.0","0"
"51683537","28","400","435,71","400","500","12200","Meia Praia","apartamento","2","2.0","3","5","22","5.0","false","true","true","300.0","0"
"30519162","91","3900","3900","3900","3900","354900","Canto da Praia","casa","4","7.0","5","8","13","5.0","false","true","true","900.0","0"
"38730549","78","732","780,33","628","853","60866","Meia Praia","apartamento","3","3.0","3","8","37","4.96999979019165","true","false","true","300.0","0"
"1100991386372756521","95","800","816,21","750","800","77540","Meia Praia","apartamento","2","2.0","0","8","12","5.0","false","false","true","0.0","0"
"53671997","23","300","451,65","300","750","10388","Meia Praia","apartamento","2","2.0","3","6","12","4.920000076293945","false","true","true","250.0","0"
