"segmento","a_qtd","a_dm","a_d25","a_d75","a_gst","v_qtd","v_sp","v_ua","v_pp","ret_40","ret_55","ret_70","oc_7","ret55_p25"
"Centro 1q","76","450","427","500","4","25","890000","45","19904,76","7,38","10,15","12,92","37,9","9,63"
"Centro 2q","61","583,3333","500","650","6","92","1140000","86","13028,57","7,47","10,27","13,07","37,5","8,8"
"Centro 3q","39","750","692","850","8","442","2100000","131","15789,47","5,21","7,17","9,12","53,7","6,62"
"Meia Praia 1q","17","490","471","570","4","62","880000","40","21250","8,13","11,18","14,23","34,4","10,74"
"Meia Praia 2q","156","450","400","550","6","243","1080000","85","13032,61","6,08","8,36","10,65","46","7,44"
"Meia Praia 3q","273","697","580","790","8","1708","1884860","129","14957,26","5,4","7,42","9,45","51,9","6,18"
"Meia Praia 4q","47","900","900","1200","10","1329","3549790","188","18428,25","3,7","5,09","6,48","75,6","5,09"
"Morretes 1q","2","480","480","600","5","49","600000","44","12889,41","11,68","16,06","20,44","24","16,06"
"Morretes 2q","43","464","399","541","5","1243","750000","69","11085,71","9,03","12,42","15,81","31","10,68"
"Morretes 3q","8","650","600","780","8","306","790000","100","8333,33","12,01","16,52","21,02","23,3","15,25"
