"owner_id","qtd_linhas","linhas_identical","snapshot_dates"
"433162432","4","False","2025-01-13 01:56:44.000; 2025-01-13 02:02:19.000; 2025-01-13 02:25:41.000; 2025-01-13 02:30:07.000"
"108479878","58","False","2025-01-13 01:55:18.000; 2025-01-13 01:55:45.000; 2025-01-13 01:55:53.000; 2025-01-13 01:56:30.000; 2025-01-13 01:56:54.000; 2025-01-13 01:56:55.000; 2025-01-13 01:57:25.000; 2025-01-13 01:59:24.000; 2025-01-13 02:02:09.000; 2025-01-13 02:02:36.000; 2025-01-13 02:03:25.000; 2025-01-13 02:04:22.000; 2025-01-13 02:04:48.000; 2025-01-13 02:05:43.000; 2025-01-13 02:06:29.000; 2025-01-13 02:10:11.000; 2025-01-13 02:10:24.000; 2025-01-13 02:11:32.000; 2025-01-13 02:12:46.000; 2025-01-13 02:13:04.000; 2025-01-13 02:13:57.000; 2025-01-13 02:14:16.000; 2025-01-13 02:14:18.000; 2025-01-13 02:14:37.000; 2025-01-13 02:14:59.000; 2025-01-13 02:16:44.000; 2025-01-13 02:16:51.000; 2025-01-13 02:17:00.000; 2025-01-13 02:18:39.000; 2025-01-13 02:18:53.000; 2025-01-13 02:19:07.000; 2025-01-13 02:19:34.000; 2025-01-13 02:23:13.000; 2025-01-13 02:25:48.000; 2025-01-13 02:27:02.000; 2025-01-13 02:27:56.000; 2025-01-13 02:29:07.000; 2025-01-13 02:29:38.000; 2025-01-13 02:30:45.000; 2025-01-13 02:31:24.000; 2025-01-13 02:36:13.000; 2025-01-13 02:36:28.000; 2025-01-13 02:36:47.000; 2025-01-13 02:37:15.000; 2025-01-13 02:38:30.000; 2025-01-13 02:38:34.000; 2025-01-13 02:38:51.000; 2025-01-13 02:41:45.000; 2025-01-13 02:41:55.000; 2025-01-13 02:42:28.000; 2025-01-13 02:42:41.000; 2025-01-13 02:42:58.000; 2025-01-13 02:42:59.000; 2025-01-13 02:43:47.000; 2025-01-13 02:44:54.000; 2025-01-13 02:45:16.000; 2025-01-13 02:45:57.000; 2025-01-13 02:58:26.000"
"298545921","21","False","2025-01-13 02:04:14.000; 2025-01-13 02:04:29.000; 2025-01-13 02:09:36.000; 2025-01-13 02:12:27.000; 2025-01-13 02:18:13.000; 2025-01-13 02:19:01.000; 2025-01-13 02:19:52.000; 2025-01-13 02:21:28.000; 2025-01-13 02:22:10.000; 2025-01-13 02:23:25.000; 2025-01-13 02:28:19.000; 2025-01-13 02:31:14.000; 2025-01-13 02:31:54.000; 2025-01-13 02:33:47.000; 2025-01-13 02:34:35.000; 2025-01-13 02:35:01.000; 2025-01-13 02:35:21.000; 2025-01-13 02:35:57.000; 2025-01-13 02:47:01.000; 2025-01-13 02:47:22.000; 2025-01-13 02:58:33.000"
"40876651","23","False","2025-01-13 01:54:53.000; 2025-01-13 01:56:11.000; 2025-01-13 01:57:59.000; 2025-01-13 02:05:25.000; 2025-01-13 02:05:41.000; 2025-01-13 02:10:14.000; 2025-01-13 02:17:49.000; 2025-01-13 02:18:16.000; 2025-01-13 02:18:23.000; 2025-01-13 02:27:10.000; 2025-01-13 02:27:24.000; 2025-01-13 02:29:56.000; 2025-01-13 02:30:34.000; 2025-01-13 02:32:23.000; 2025-01-13 02:33:51.000; 2025-01-13 02:34:43.000; 2025-01-13 02:37:42.000; 2025-01-13 02:37:54.000; 2025-01-13 02:39:38.000; 2025-01-13 02:43:32.000; 2025-01-13 02:43:46.000; 2025-01-13 02:46:21.000; 2025-01-13 02:58:33.000"
"227777128","112","False","2025-01-13 01:56:16.000; 2025-01-13 01:57:31.000; 2025-01-13 01:57:41.000; 2025-01-13 01:57:53.000; 2025-01-13 01:58:07.000; 2025-01-13 01:58:08.000; 2025-01-13 01:58:11.000; 2025-01-13 01:59:00.000; 2025-01-13 01:59:04.000; 2025-01-13 01:59:25.000; 2025-01-13 01:59:54.000; 2025-01-13 02:01:39.000; 2025-01-13 02:02:48.000; 2025-01-13 02:03:15.000; 2025-01-13 02:03:26.000; 2025-01-13 02:03:34.000; 2025-01-13 02:03:35.000; 2025-01-13 02:03:47.000; 2025-01-13 02:03:49.000; 2025-01-13 02:04:11.000; 2025-01-13 02:05:15.000; 2025-01-13 02:06:04.000; 2025-01-13 02:06:36.000; 2025-01-13 02:07:01.000; 2025-01-13 02:07:11.000; 2025-01-13 02:07:32.000; 2025-01-13 02:07:33.000; 2025-01-13 02:07:51.000; 2025-01-13 02:08:38.000; 2025-01-13 02:08:48.000; 2025-01-13 02:08:50.000; 2025-01-13 02:10:04.000; 2025-01-13 02:11:54.000; 2025-01-13 02:12:37.000; 2025-01-13 02:13:01.000; 2025-01-13 02:14:18.000; 2025-01-13 02:14:20.000; 2025-01-13 02:14:39.000; 2025-01-13 02:15:11.000; 2025-01-13 02:16:22.000; 2025-01-13 02:16:40.000; 2025-01-13 02:17:47.000; 2025-01-13 02:17:49.000; 2025-01-13 02:18:22.000; 2025-01-13 02:18:24.000; 2025-01-13 02:18:25.000; 2025-01-13 02:19:05.000; 2025-01-13 02:19:20.000; 2025-01-13 02:21:41.000; 2025-01-13 02:22:18.000; 2025-01-13 02:22:24.000; 2025-01-13 02:22:56.000; 2025-01-13 02:22:59.000; 2025-01-13 02:24:28.000; 2025-01-13 02:24:31.000; 2025-01-13 02:24:51.000; 2025-01-13 02:24:59.000; 2025-01-13 02:25:39.000; 2025-01-13 02:26:45.000; 2025-01-13 02:28:31.000; 2025-01-13 02:29:42.000; 2025-01-13 02:30:10.000; 2025-01-13 02:30:42.000; 2025-01-13 02:30:56.000; 2025-01-13 02:31:07.000; 2025-01-13 02:31:12.000; 2025-01-13 02:31:53.000; 2025-01-13 02:32:40.000; 2025-01-13 02:32:58.000; 2025-01-13 02:33:44.000; 2025-01-13 02:34:00.000; 2025-01-13 02:34:27.000; 2025-01-13 02:34:34.000; 2025-01-13 02:34:56.000; 2025-01-13 02:35:12.000; 2025-01-13 02:35:52.000; 2025-01-13 02:36:11.000; 2025-01-13 02:36:59.000; 2025-01-13 02:37:28.000; 2025-01-13 02:37:53.000; 2025-01-13 02:38:13.000; 2025-01-13 02:38:38.000; 2025-01-13 02:38:55.000; 2025-01-13 02:38:56.000; 2025-01-13 02:40:10.000; 2025-01-13 02:40:28.000; 2025-01-13 02:40:44.000; 2025-01-13 02:41:29.000; 2025-01-13 02:41:39.000; 2025-01-13 02:41:42.000; 2025-01-13 02:42:01.000; 2025-01-13 02:42:18.000; 2025-01-13 02:42:29.000; 2025-01-13 02:42:42.000; 2025-01-13 02:43:02.000; 2025-01-13 02:43:17.000; 2025-01-13 02:43:18.000; 2025-01-13 02:44:30.000; 2025-01-13 02:44:58.000; 2025-01-13 02:45:29.000; 2025-01-13 02:46:07.000; 2025-01-13 02:46:10.000; 2025-01-13 02:47:08.000; 2025-01-13 02:48:25.000; 2025-01-13 02:48:44.000; 2025-01-13 02:48:52.000; 2025-01-13 02:49:09.000; 2025-01-13 02:49:49.000; 2025-01-13 02:50:00.000; 2025-01-13 02:52:04.000; 2025-01-13 02:58:27.000; 2025-01-13 02:58:40.000"
"389650375","3","False","2025-01-13 01:55:35.000; 2025-01-13 02:29:15.000; 2025-01-13 02:58:45.000"
"82821456","14","False","2025-01-13 01:59:14.000; 2025-01-13 02:01:38.000; 2025-01-13 02:03:09.000; 2025-01-13 02:08:40.000; 2025-01-13 02:10:27.000; 2025-01-13 02:14:45.000; 2025-01-13 02:27:45.000; 2025-01-13 02:29:46.000; 2025-01-13 02:31:26.000; 2025-01-13 02:34:59.000; 2025-01-13 02:39:07.000; 2025-01-13 02:58:22.000; 2025-01-13 02:58:27.000; 2025-01-13 02:59:02.000"
"115900186","34","False","2025-01-13 01:54:31.000; 2025-01-13 01:55:24.000; 2025-01-13 01:55:35.000; 2025-01-13 01:55:40.000; 2025-01-13 01:56:50.000; 2025-01-13 02:01:10.000; 2025-01-13 02:07:45.000; 2025-01-13 02:09:56.000; 2025-01-13 02:10:11.000; 2025-01-13 02:11:33.000; 2025-01-13 02:14:47.000; 2025-01-13 02:16:08.000; 2025-01-13 02:16:15.000; 2025-01-13 02:17:12.000; 2025-01-13 02:18:25.000; 2025-01-13 02:18:57.000; 2025-01-13 02:19:25.000; 2025-01-13 02:19:43.000; 2025-01-13 02:21:21.000; 2025-01-13 02:28:11.000; 2025-01-13 02:28:31.000; 2025-01-13 02:29:24.000; 2025-01-13 02:30:27.000; 2025-01-13 02:31:12.000; 2025-01-13 02:31:51.000; 2025-01-13 02:32:41.000; 2025-01-13 02:34:00.000; 2025-01-13 02:41:26.000; 2025-01-13 02:41:28.000; 2025-01-13 02:49:40.000; 2025-01-13 02:50:05.000; 2025-01-13 02:57:07.000; 2025-01-13 02:58:44.000; 2025-01-13 02:59:03.000"
"489737906","23","False","2025-01-13 01:54:09.000; 2025-01-13 01:58:35.000; 2025-01-13 01:59:45.000; 2025-01-13 02:00:13.000; 2025-01-13 02:05:58.000; 2025-01-13 02:06:21.000; 2025-01-13 02:12:16.000; 2025-01-13 02:14:24.000; 2025-01-13 02:21:23.000; 2025-01-13 02:24:27.000; 2025-01-13 02:27:58.000; 2025-01-13 02:29:39.000; 2025-01-13 02:34:12.000; 2025-01-13 02:35:15.000; 2025-01-13 02:35:39.000; 2025-01-13 02:36:24.000; 2025-01-13 02:40:41.000; 2025-01-13 02:42:51.000; 2025-01-13 02:44:27.000; 2025-01-13 02:46:22.000; 2025-01-13 02:49:01.000; 2025-01-13 02:49:40.000; 2025-01-13 02:59:04.000"
"337026052","2","False","2025-01-13 02:21:21.000; 2025-01-13 02:25:16.000"
