"airbnb_listing_id","date","capturas","mudancas"
"784598714032826222","2025-03-27","2","0"
"31530689","2025-04-07","2","0"
"798475021925579344","2025-03-08","3","2"
"790752171303746450","2025-01-08","2","0"
"1283982403734255309","2025-04-05","3","1"
"30332330","2025-03-19","3","1"
"52596621","2025-02-15","3","2"
"675242237586865339","2025-03-31","3","0"
"6569062","2025-01-30","3","1"
"38899673","2025-02-15","3","2"
"42003334","2025-03-26","3","0"
"1320995339425720277","2025-01-18","2","1"
"47260862","2025-03-30","3","0"
"892721989592935461","2025-03-24","3","0"
"42335961","2025-02-09","2","0"
"38319706","2025-03-10","3","2"
"1274055523929375490","2025-03-21","3","2"
"52346232","2025-02-12","3","1"
"52619006","2025-03-13","3","1"
"30105402","2025-02-08","3","0"
"670778657683556451","2025-03-24","3","0"
"47254288","2025-02-18","2","0"
"51453135","2025-03-04","3","0"
"1197195878719681680","2025-03-29","3","1"
"1139831117529014384","2025-03-03","3","1"
"754375397775403281","2025-04-01","3","0"
"900757690500508426","2025-03-04","2","0"
"1207992119242235910","2025-02-19","3","2"
"681894806923375678","2025-03-25","3","0"
"1187558666042801587","2025-03-19","3","1"
"770131545986036241","2025-03-31","3","0"
"29870406","2025-03-10","3","0"
"850675824952359571","2025-02-13","3","1"
"17294276","2025-02-28","2","1"
"762916089194134311","2025-02-07","3","0"
"39109062","2025-02-23","3","0"
"1207881809440158991","2025-03-12","3","0"
"1074031328011239995","2025-02-23","2","0"
"746451645715267085","2025-02-06","3","1"
"1208718899534488031","2025-02-13","3","0"
"8287843","2025-03-15","3","0"
"45621607","2025-02-02","3","0"
"816613605644920543","2025-02-14","2","0"
"1207864392976162235","2025-03-13","2","0"
"41532894","2025-03-29","3","0"
"38899673","2025-02-09","3","2"
"1315954985293478319","2025-01-30","3","1"
"1192836728602105901","2025-03-30","3","2"
"39051477","2025-04-04","3","0"
"41227471","2025-04-03","3","1"
"36632832","2025-02-05","3","0"
"1004496327455456339","2025-03-27","3","0"
"47326216","2025-04-06","3","0"
"29114516","2025-03-25","3","0"
"708045427082372124","2025-03-14","3","0"
"30153564","2025-02-13","3","2"
"31560419","2025-03-25","3","0"
"26334990","2025-03-08","3","0"
"1187061700423806804","2025-02-15","3","1"
"53717416","2025-02-16","2","1"
"1047723626454445067","2025-03-22","3","0"
"28071688","2025-03-02","3","0"
"29008738","2025-03-21","3","1"
"17294276","2025-03-14","2","0"
"11567423","2025-02-15","3","0"
"22243318","2025-02-09","2","0"
"52670832","2025-04-06","3","2"
"31380471","2025-03-16","3","0"
"1023885231203292759","2025-02-04","3","2"
"46678933","2025-03-19","2","0"
"1074031328011239995","2025-02-28","2","1"
"53133732","2025-04-01","3","0"
"674566887638611404","2025-03-27","3","0"
"45923984","2025-04-06","3","2"
"963916345061155113","2025-03-02","3","1"
"46769078","2025-02-11","3","0"
"1320995339425720277","2025-03-10","3","2"
"21091876","2025-01-13","2","0"
"21295667","2025-03-08","3","2"
"1249371220066552412","2025-03-24","3","1"
"1282585098065467787","2025-02-11","3","2"
"41260111","2025-02-23","3","2"
"1023885231203292759","2025-03-02","2","0"
"46451253","2025-02-21","3","0"
"1297930390704189766","2025-02-16","2","1"
"41702158","2025-02-16","2","0"
"1238321506456103932","2025-04-02","3","1"
"16618715","2025-01-17","2","1"
"31945494","2025-03-09","3","0"
"1274679812745645557","2025-03-26","3","1"
"1320994692912931266","2025-02-15","3","1"
"754141022905987471","2025-02-17","3","2"
"46769078","2025-03-27","3","0"
"1226856286781952840","2025-03-03","3","1"
"22245880","2025-03-21","3","2"
"46724379","2025-03-09","3","0"
"739015384619300207","2025-02-21","3","0"
"41702158","2025-04-02","3","0"
"1242713378625026725","2025-04-07","2","1"
"31441134","2025-02-22","2","0"
"21324331","2025-02-21","2","0"
"41493620","2025-01-21","2","0"
"1219655958873769070","2025-03-26","3","1"
"1249385754807434824","2025-03-21","3","1"
"1055163452693752832","2025-03-04","3","1"
"916052715744473224","2025-01-25","3","0"
"40342798","2025-03-10","3","0"
"1208746927423730353","2025-02-13","2","1"
"41260111","2025-03-28","3","0"
"38899673","2025-02-16","3","2"
"753566944813003124","2025-02-14","3","0"
"22421606","2025-03-15","3","0"
"32486859","2025-04-03","3","0"
"40892344","2025-01-27","2","0"
"49123621","2025-04-06","2","0"
"46072703","2025-03-07","3","0"
"30493854","2025-03-28","3","0"
"31069380","2025-02-12","3","1"
"1285538056394050628","2025-02-13","3","0"
"1274533646308060247","2025-02-14","3","1"
"753566944813003124","2025-03-11","3","1"
"30493854","2025-02-21","2","0"
"21091876","2025-04-02","3","0"
"35481220","2025-03-10","3","1"
"25165914","2025-03-29","3","0"
"22421016","2025-02-15","3","0"
"1280559161534348023","2025-03-09","3","1"
"1137698308528017474","2025-03-31","3","2"
"1297930390704189766","2025-02-01","2","1"
"53240300","2025-02-27","3","1"
"957349094500016515","2025-03-28","3","0"
"1226846054624436877","2025-02-08","2","0"
"26839303","2025-02-27","3","2"
"1208704132667695539","2025-04-03","3","0"
"53240300","2025-01-28","3","0"
"1272537775161574422","2025-04-04","3","0"
"16253828","2025-03-09","3","2"
"1208718899534488031","2025-02-11","3","0"
"39007372","2025-02-15","3","2"
"40250642","2025-02-04","3","1"
"47006355","2025-01-25","3","1"
"15909831","2025-02-17","3","1"
"1193496259129259761","2025-01-25","2","0"
"40892344","2025-02-11","3","1"
"1074031328011239995","2025-03-15","2","0"
"31441134","2025-03-08","2","0"
"525472560929976068","2025-03-24","3","0"
"1292815457899461748","2025-03-19","2","0"
"756997201912524343","2025-03-03","3","0"
"28366360","2025-03-21","3","0"
"53325047","2025-01-25","2","0"
"805726391815686158","2025-03-25","3","1"
"1181933658424522281","2025-03-20","3","2"
"1004496327455456339","2025-03-25","3","0"
"612245203931813020","2025-01-11","2","0"
"28410850","2025-03-23","3","0"
"968213956640500474","2025-03-07","3","0"
"1161927707286622818","2025-03-09","3","1"
"1045520246239520927","2025-02-24","2","1"
"1054265461023254222","2025-02-14","3","0"
"730437501239201082","2025-02-22","3","1"
"668715506986619718","2025-02-27","2","0"
"1139831117529014384","2025-03-24","3","1"
"49123621","2025-03-17","3","0"
"16662563","2025-03-06","3","0"
"38980085","2025-04-04","3","2"
"53893648","2025-03-13","3","0"
"53133732","2025-03-29","3","0"
"46550767","2025-02-15","3","0"
"53458717","2025-03-18","3","0"
"1269636598524749154","2025-03-17","3","1"
"51825638","2025-02-21","3","0"
"944320965810800803","2025-03-03","3","2"
"27704027","2025-03-21","3","0"
"31859744","2025-03-15","3","0"
"40250642","2025-03-25","3","1"
"45973790","2025-01-27","3","2"
"906701409648697471","2025-04-06","3","0"
"47325492","2025-03-01","3","1"
"48109229","2025-03-06","2","1"
"1161927707286622818","2025-03-14","2","1"
"46598066","2025-03-18","3","0"
"794710559970994170","2025-04-03","3","1"
"978095320445301654","2025-03-16","3","0"
"1219655958873769070","2025-03-24","3","1"
"873255393900331818","2025-03-15","3","0"
"767407262472265686","2025-02-20","3","2"
"42003334","2025-02-17","3","2"
"1207881809440158991","2025-03-14","3","0"
"1207383031689344642","2025-03-31","3","2"
"1257312272803306995","2025-02-19","3","2"
"46220279","2025-03-09","3","0"
"46678933","2025-02-12","2","1"
"1284110666632259028","2025-03-17","3","2"
"978095320445301654","2025-03-01","3","0"
"52619006","2025-02-22","2","1"
"53175731","2025-03-22","3","0"
"46769078","2025-01-21","3","0"
"51785337","2025-03-13","3","2"
"53154219","2025-02-05","3","0"
"840525492567265584","2025-02-28","3","0"
"1208704132667695539","2025-01-29","3","2"
"794710559970994170","2025-04-01","3","0"
"53314692","2025-03-25","3","0"
"40560834","2025-03-31","3","0"
"850931966820064700","2025-02-07","2","0"
"16321793","2025-02-01","3","0"
"18395333","2025-03-28","3","1"
"910815231577364751","2025-02-14","3","0"
"1216602433904805187","2025-02-17","3","2"
"21695053","2025-03-25","3","1"
"52266549","2025-02-18","2","0"
"610155932497817911","2025-02-13","3","0"
"1216602433904805187","2025-03-31","3","1"
"678242953903453952","2025-04-03","3","0"
"792096103347120988","2025-02-15","3","1"
"22047595","2025-03-18","3","1"
"27981528","2025-02-27","3","0"
"22190101","2025-04-07","2","0"
"850931966820064700","2025-03-02","3","0"
"20943549","2025-03-24","3","0"
"47254288","2025-03-09","3","0"
"25165914","2025-03-11","3","0"
"41676390","2025-02-17","3","0"
"599368528094352718","2025-02-23","3","0"
"1181971107577983158","2025-01-25","2","1"
"786307999394390316","2025-02-07","3","1"
"984846668146064982","2025-03-03","3","1"
"1193496259129259761","2025-03-16","3","2"
"1055163452693752832","2025-03-23","3","0"
"599368528094352718","2025-04-06","3","0"
"30493854","2025-03-20","3","0"
"52646204","2025-03-08","3","0"
"41260111","2025-03-06","3","1"
"1005958896607152946","2025-02-25","3","1"
"1203140233522044896","2025-04-03","3","1"
"46866680","2025-03-28","3","0"
"1174263938200349649","2025-01-13","2","0"
"15909831","2025-04-05","3","0"
"1265295313956605287","2025-03-22","3","1"
"1153552657765472365","2025-04-04","3","2"
"49123621","2025-01-21","3","0"
"1125970477826966385","2025-03-04","3","1"
"610155932497817911","2025-01-28","3","0"
"47172145","2025-02-11","2","0"
"612245203931813020","2025-03-02","3","0"
"38447436","2025-03-24","3","0"
"38730549","2025-03-07","3","2"
"39051477","2025-04-01","3","0"
"1189331897618015345","2025-01-29","2","1"
"816613605644920543","2025-02-22","2","0"
"785658004981722606","2025-02-25","3","1"
"910815231577364751","2025-04-01","3","0"
"995680028058206783","2025-03-09","2","1"
"53669499","2025-03-06","3","1"
"786307999394390316","2025-03-09","3","0"
"1203140233522044896","2025-02-27","3","2"
"23343001","2025-02-08","3","0"
"48109229","2025-03-17","2","0"
"41762297","2025-01-29","2","1"
"610155932497817911","2025-02-08","3","0"
"8838629","2025-03-13","3","0"
"1187558666042801587","2025-03-20","3","1"
"772261416620745030","2025-03-03","3","0"
"52758042","2025-03-10","3","1"
"936216057908307884","2025-03-19","3","1"
"11567423","2025-04-02","3","0"
"986245345084467584","2025-01-27","3","1"
"1263128865886946817","2025-02-02","3","1"
"40371384","2025-01-12","2","0"
"844864653127085626","2025-02-15","3","0"
"53195241","2025-02-21","3","1"
"11567423","2025-01-22","2","0"
"53154219","2025-02-25","3","0"
"53973724","2025-03-11","3","0"
"22190101","2025-03-08","3","0"
"46036384","2025-03-31","3","0"
"756997201912524343","2025-03-05","3","0"
"39394644","2025-01-28","2","0"
"22047595","2025-04-07","2","0"
"1111626053814730010","2025-02-01","3","1"
"22901902","2025-02-05","3","2"
"46088002","2025-03-23","3","0"
"48109229","2025-03-09","2","0"
"1208746927423730353","2025-04-04","3","0"
"53113087","2025-04-04","3","1"
"1187558666042801587","2025-03-17","3","1"
"17570590","2025-03-21","2","1"
"1207335703563012811","2025-04-06","3","0"
"41260111","2025-02-15","3","2"
"46530405","2025-03-13","3","2"
