"Variavel","Grupo","Valor"
"suburb_top5","com_preco","Meia Praia=632; Centro=205; Morretes=83; Tabuleiro dos Oliveiras=20; Casa Branca=15"
"suburb_top5","sem_preco","Meia Praia=2228; Centro=452; Morretes=358; Tabuleiro dos Oliveiras=109; Casa Branca=73"
"pct_Centro","com_preco","205 (20.5%)"
"pct_Centro","sem_preco","452 (13.1%)"
"pct_Meia_Praia","com_preco","632 (63.3%)"
"pct_Meia_Praia","sem_preco","2228 (64.7%)"
"bedrooms_mediana","com_preco","2"
"bedrooms_mediana","sem_preco","3"
"bedrooms_dist","com_preco","0=8; 1=144; 2=351; 3=404; 4=80; 5=7; 6=2; 7=2; 12=1"
"bedrooms_dist","sem_preco","0=48; 1=405; 2=1131; 3=1518; 4=291; 5=34; 6=4; 7=3; 8=1; 10=2; 11=1; 12=3; 16=1"
"listing_type","com_preco","apartamento=911; casa=70; outros=17; hotel=1"
"listing_type","sem_preco","apartamento=2799; casa=373; outros=228; hotel=42"
"guests_mediana","com_preco","6"
"guests_mediana","sem_preco","6"
"reviews_mediana","com_preco","16"
"reviews_mediana","sem_preco","1"
"reviews_media","com_preco","27,08"
"reviews_media","sem_preco","3,77"
"star_rating_mediana","com_preco","4,92999982833862"
"star_rating_mediana","sem_preco","4,5"
"is_professional","com_preco","false=799; true=189; =11"
"is_professional","sem_preco","false=2898; =344; true=200"
