"listing_id","qtd","identical","precos_distintos","areas_distintas"
"2693494335","2","True","897777","60"
"2742325556","2","True","1480000","126"
"2697432835","2","True","1450000","118"
"2764631048","2","True","1950000","1443"
"2626580032","2","True","1690000","117"
"2721108944","2","True","650000","288"
"2770031278","2","True","649810","270"
"2719046954","2","True","","470"
"2746556203","2","True","799900","68"
"2718306376","2","True","640000","66"
"2720533534","2","True","697000","65"
"2612161501","2","True","1500000","125"
"2732128414","2","True","525000","59"
"2744697119","2","True","590000","69"
"2770032015","2","True","2989630","2100"
"2746143506","2","True","3900000","160"
"2754746320","2","True","900000","73"
"2733826525","2","True","2300000","229"
"2769853821","2","True","949240","98"
"2751815708","2","True","1478000","122"
"2561071557","2","True","797000","70"
"2687011752","2","True","1598122","131"
"2758556132","2","True","2500000","132"
"2668001715","2","True","2300000","219"
"2598271159","2","True","870000","70"
"2764979718","2","True","1590000","129"
"2705744229","2","True","1648500","117"
"2754746749","2","True","1526569","120"
"2693494918","2","True","877180","64"
"2769854614","2","True","2199540","161"
"2679480707","2","True","2201409","172"
"2655470871","2","False","2800000","207"
"2560056881","2","True","1686311","138"
"2711254196","2","True","950000","86"
"2691331590","2","True","2150000","130"
"2560060060","2","True","9359829","198"
