"suburb","quartos","qtd","sp_mediana","sp_media","sp_p25","sp_p75","ua_mediana","ppm2_mediana","cf_mediana","cf_pct","ip_mediana","ip_pct","ua_zero","ppm2_invalido"
"Centro","0","3","2145000","3614113,33","1852340","6845000","123","20432,84","1","0","100","100","0","0"
"Centro","1","25","890000","1105144,12","660000","1180000","45","19904,76","500","56","120","44","0","0"
"Centro","2","92","1140000","1172018,23","850000","1550000","86","13028,57","460","82,6","700","84,8","0","0"
"Centro","3","442","2100000","2318815,64","1750000","2789200","131","15789,47","1","72,6","1","67,6","0","0"
"Centro","4","408","3660000","4245309,16","2698800","5000000","197","18222,28","0","64,5","0","63","0","19"
"Meia Praia","0","30","1750000","2175539,29","952800","2700000","154","13709,68","0","63,3","0","66,7","0","2"
"Meia Praia","1","62","880000","945445,74","756000","1005007","40","21250","0","66,1","480","59,7","0",
"Meia Praia","2","243","1080000","1133950,05","906700","1290000","85","13032,61","450","73,7","650","69,1","0","0"
"Meia Praia","3","1708","1884860","2101813,1","1575000","2399240","129","14957,26","500","71,1","531","65,5","0",
"Meia Praia","4","1329","3549790","4124921,13","2750000","4900000","188","18428,25","600","68,2","1","62,6","0","35"
"Morretes","0","98","650000","1063236,88","630000","974085","283","2529,76","0","73,5","500","70,4","4","4"
"Morretes","1","51","649000","656351,14","436000","750000","43","12898,55","1","51","100","58,8","0","0"
"Morretes","2","1243","750000","752412,93","620000","850000","69","11085,71","3","71,6","500","76,1","0","0"
"Morretes","3","306","790000","1064033,91","720000","950000","100","8333,33","0","70,6","500","79,7","0","0"
"Morretes","4","67","5355175","4948906,43","3150000","6672000","186","25247,47","250","65,7","1000","68,7","0","2"
"Tabuleiro dos Oliveiras","1","3","699000","739333,33","699000","820000","54","12944,44","0","66,7","0","66,7","0","0"
"Tabuleiro dos Oliveiras","2","111","780939","779145,64","697000","849570","69","11660,24","1","71,2","1","67,6","0","0"
"Tabuleiro dos Oliveiras","3","17","885000","913597,65","770000","990000","70","11285,71","350","58,8","1000","64,7","0","0"
"Canto da Praia","1","7","780000","671400","485000","800000","50","14220,69","500","42,9","100","57,1","0","0"
"Canto da Praia","2","14","1225000","1218329,43","1205000","1452000","88","14459,77","1","100","1","92,9","0","0"
"Canto da Praia","3","82","2100000","2247199,27","1580000","2949750","119","14950","0","69,5","0","67,1","0","0"
"Canto da Praia","4","21","5250000","4687792,12","2800000","5900000","243","18333,33","1","71,4","1","71,4","0","4"
"Centro","0-1","28","960000","1373962,25","660000","1852340","54","20432,84","400","53,6","120","50","0","0"
"Meia Praia","0-1","92","970000","1332441,46","780000","1265000","45","18900","0","65,2","0","62","0","3"
"Morretes","0-1","149","650000","923967,26","600000","850000","252","5158,73","0","65,8","500","66,4","4","4"
"Tabuleiro dos Oliveiras","0-1","4","699000","739333,33","699000","820000","68","12944,44","0","75","0","75","0",
"Canto da Praia","0-1","8","780000","671400","485000","800000","55","14220,69","500","50","100","62,5","0",
