"listing_id","sale_price","usable_area","price_per_m2","suburb"
"2687011752","1598122","131","12199,4","Meia Praia"
"2697432835","1450000","118","12288,14","Meia Praia"
"2612161501","1500000","125","12000","Castelo Branco"
"2598271159","870000","70","12428,57","Morretes"
"2691331590","2150000","130","16538,46","Andorinha"
"2705744229","1648500","117","14089,74","Meia Praia"
"2617641178","3900000","150","26000","Centro"
"2702953872","6500000","300","21666,67","Sertão do Trombudo"
"2766855415","989000","149","6637,58","Casa Branca"
"2644816494","1350000","105","12857,14","Meia Praia"
"2744689901","9998000","180","55544,44","Meia Praia"
"2760827827","1945000","175","11114,29","Andorinha"
"1546305474","1100000","97","11340,21","Castelo Branco"
"2666979700","2790000","142","19647,89","Meia Praia"
"2613764899","1450000","123","11788,62","Meia Praia"
"2609061132","2300000","164","14024,39","Meia Praia"
"2766851231","1399800","103","13590,29","Castelo Branco"
"2761880214","1200000","80","15000","Meia Praia"
"2592489849","1530000","135","11333,33","Andorinha"
"2763648539","1550000","125","12400","Castelo Branco"
"2702670796","550000","70","7857,14","Morretes"
"2762331321","1400000","164","8536,59","Meia Praia"
"2613245825","1340000","125","10720","Castelo Branco"
"2648244192","730000","139","5251,8","Casa Branca"
"2741975571","950000","80","11875","Centro"
"2764635017","1800000","142","12676,06","Meia Praia"
"2609060688","973668","105","9273,03","Castelo Branco"
"2727819545","895000","135","6629,63","Tabuleiro dos Oliveiras"
"2560637347","480000","70","6857,14","Morretes"
"2754972400","1199000","112","10705,36","Meia Praia"
"2593389870","4890000","202","24207,92","Meia Praia"
"2748231901","4843960","262","18488,4","Centro"
"2749233294","8095000","229","35349,34","Centro"
"2764633096","890000","79","11265,82","Morretes"
"2760094099","750000","70","10714,29","Meia Praia"
"2652784252","1050000","100","10500","Meia Praia"
"2607340722","529000","85","6223,53","Morretes"
"2764975510","1550000","145","10689,66","Andorinha"
"2764978835","1690000","108","15648,15","Meia Praia"
"2627156154","678000","70","9685,71","Morretes"
"2567865290","2998800","164","18285,37","Centro"
"2733668216","850000","67","12686,57","Morretes"
"2767582146","730000","70","10428,57","Morretes"
"2560637439","550001","70","7857,16","Morretes"
"2560637525","540000","95","5684,21","Morretes"
"2646970775","1500000","136","11029,41","Castelo Branco"
"2748603035","1304054","111","11748,23","Andorinha"
"2736815120","5927250","300","19757,5","Castelo Branco"
"2685746487","1545075","126","12262,5","Meia Praia"
"2764005337","750000","70","10714,29","Morretes"
"2666979995","1400000","168","8333,33","Centro"
"2760965299","950000","70","13571,43","Morretes"
"2670862295","3943000","233","16922,75","Meia Praia"
"2766852824","1490000","101","14752,48","Meia Praia"
"2694375980","776000","68","11411,76","Morretes"
"2728077631","650000","65","10000","Morretes"
"2760266628","600000","68","8823,53","Morretes"
"2746689115","844830","80","10560,38","Morretes"
"2560637118","880000","70","12571,43","Morretes"
"2763648538","1480000","125","11840","Castelo Branco"
"2766852431","1051800","129","8153,49","Meia Praia"
"2681617210","1430000","134","10671,64","Andorinha"
"2728061700","750000","68","11029,41","Morretes"
"2626576307","9000000","440","20454,55","Casa Branca"
"2626577112","2790000","143","19510,49","Meia Praia"
"2766853938","600300","69","8700","Varzea"
"2560637416","550000","88","6250","Morretes"
"2507980755","7500000","185","40540,54","Centro"
"2560060060","9359829","198","47271,86","Meia Praia"
"2711254196","950000","86","11046,51","Andorinha"
"2746556203","799900","68","11763,24","Morretes"
"2764979718","1590000","129","12325,58","Meia Praia"
"2679480707","2201409","172","12798,89","Meia Praia"
"2560056881","1686311","138","12219,64","Meia Praia"
"2720533534","697000","65","10723,08","Tabuleiro dos Oliveiras"
"2751815708","1478000","122","12114,75","Meia Praia"
"2733826525","2300000","229","10043,67","Sertão do Trombudo"
"2561071557","797000","70","11385,71","Morretes"
"2718306376","640000","66","9696,97","Varzea"
"2754746749","1526569","120","12721,41","Andorinha"
"2626580032","1690000","117","14444,44","Centro"
"2744697119","590000","69","8550,72","Morretes"
"2721108944","650000","288","2256,94","Morretes"
"2693494335","897777","60","14962,95","Morretes"
"2764631048","1950000","1443","1351,35","Meia Praia"
"2668001715","2300000","219","10502,28","Castelo Branco"
"2742325556","1480000","126","11746,03","Castelo Branco"
"2758556132","2500000","132","18939,39","Meia Praia"
"2732128414","525000","59","8898,31","Morretes"
"2746143506","3900000","160","24375","Meia Praia"
"2693494918","877180","64","13705,94","Morretes"
"2754746320","900000","73","12328,77","Meia Praia"
"2560636990","550000","70","7857,14","Morretes"
"2745218133","850000","80","10625","Centro"
"2737257018","1200000","122","9836,07","Meia Praia"
"2626750358","1850000","150","12333,33","Meia Praia"
"2659552768","1500000","145","10344,83","Meia Praia"
"2686570048","536000","69","7768,12","Varzea"
"2560637696","806000","70","11514,29","Morretes"
"2655470871","2800000","207","13526,57","Centro"
"2729768732","990000","135","7333,33","Tabuleiro dos Oliveiras"
"2560637663","880000","70","12571,43","Morretes"
"2560637394","710000","110","6454,55","Morretes"
"2763215815","1680000","105","16000","Castelo Branco"
"2670480819","1880000","124","15161,29","Meia Praia"
"2590072103","1216999","87","13988,49","Canto da Praia"
"2748437711","9818894","201","48850,22","Meia Praia"
"2617068017","9753886","201","48526,8","Meia Praia"
"2710300697","630000","61","10327,87","Jardim Praia Mar"
"2650409404","749800","105","7140,95","Morretes"
"2699297477","600000","60","10000","Morretes"
"2614369252","460000","55","8363,64","Morretes"
"2736167157","9753104","201","48522,91","Meia Praia"
"2646142602","1580000","157","10063,69","Castelo Branco"
"2723548133","1358000","104","13057,69","Meia Praia"
"2769150314","630000","69","9130,43","Casa Branca"
"2763412421","680000","70","9714,29","Varzea"
"2646971197","680000","70","9714,29","Morretes"
"2648247156","730000","139","5251,8","Casa Branca"
"2670319409","1325000","146","9075,34","Andorinha"
"2761879915","749000","63","11888,89","Jardim Praia Mar"
"2626581157","750000","70","10714,29","Tabuleiro dos Oliveiras"
"2569455786","1500000","105","14285,71","Meia Praia"
"2636858385","1190000","102","11666,67","Meia Praia"
"2736812579","727000","70","10385,71","Morretes"
"2622333430","1500000","130","11538,46","Meia Praia"
"2689659829","813905","69","11795,72","Morretes"
"2740355212","1100000","104","10576,92","Andorinha"
"2721617441","1842000","137","13445,26","Andorinha"
"2768381818","1327767","110","12070,61","Meia Praia"
"2560637468","595000","74","8040,54","Morretes"
"2698138395","746114","70","10658,77","Casa Branca"
"2656704261","999217","70","14274,53","Morretes"
"2764630858","850000","90","9444,44","Andorinha"
"2736331867","630000","62","10161,29","Alto São Bento"
"2723763236","1199000","88","13625","Castelo Branco"
"2751584198","558001","43","12976,77","Morretes"
"2605966804","3090000","198","15606,06","Andorinha"
"2749293710","699900","66","10604,55","Morretes"
"2744009367","7000000","140","50000","Meia Praia"
"2684229868","550000","70","7857,14","Alto São Bento"
"2766852124","1100000","169","6508,88","Meia Praia"
"2760437849","1311000","81","16185,19","Meia Praia"
"2699373973","360000","264","1363,64","Alto São Bento"
"2761878727","8250000","185","44594,59","Meia Praia"
"2764631676","1490000","116","12844,83","Meia Praia"
"2763747295","1250000","114","10964,91","Centro"
"2761579327","719000","70","10271,43","Casa Branca"
"2761506471","930000","103","9029,13","Meia Praia"
"2732422020","795000","130","6115,38","Meia Praia"
"2678331888","699000","95","7357,89","Morretes"
"2736812985","1535000","102","15049,02","Castelo Branco"
"2560637387","550000","75","7333,33","Morretes"
"2634832363","645000","68","9485,29","Tabuleiro dos Oliveiras"
"2722816072","1000000","80","12500",""
"2706407714","880000","80","11000","Castelo Branco"
"2560637659","828000","65","12738,46","Morretes"
"2593229605","3867304","156","24790,41","Centro"
"2754747725","1650000","140","11785,71","Castelo Branco"
"2641898491","610200","69","8843,48","Morretes"
"2720508840","4355000","222","19617,12","Meia Praia"
"2724974460","1550000","109","14220,18","Andorinha"
"2749537102","678564","70","9693,77","Jardim Praia Mar"
"2574581774","628000","74","8486,49","Morretes"
"2730204043","7800000","181","43093,92","Meia Praia"
"2758185922","1496000","131","11419,85","Meia Praia"
"2619928893","900000","68","13235,29","Morretes"
"2560637756","550000","75","7333,33","Morretes"
"2560637301","550000","70","7857,14","Morretes"
"2511792442","2716000","160","16975","Meia Praia"
"2560637753","550000","74","7432,43","Morretes"
"2662659255","858900","70","12270","Morretes"
"2764632841","2450000","176","13920,45","Meia Praia"
"2743646784","2399000","212","11316,04","Meia Praia"
"2626745123","1500000","128","11718,75","Meia Praia"
"2697681574","1800000","119","15126,05","Canto da Praia"
"2560637601","550000","95","5789,47","Morretes"
"2675182818","1990000","150","13266,67","Centro"
"2689675220","1750000","116","15086,21","Castelo Branco"
"2711047108","950000","120","7916,67","Meia Praia"
"2618659886","1530000","116","13189,66","Canto da Praia"
"2582998801","2500000","160","15625","Meia Praia"
"2760878444","3390000","104","32596,15","Andorinha"
"2560637279","540000","90","6000","Morretes"
"2764433707","741000","69","10739,13","Morretes"
"2482909220","3960000","166","23855,42","Meia Praia"
"2655558771","980000","134","7313,43","Meia Praia"
"2755686223","599760","110","5452,36","Casa Branca"
"2713539407","1960000","122","16065,57","Meia Praia"
"2660133148","691104","60","11518,4","Morretes"
"2765291079","1695000","133","12744,36","Centro"
"2670893401","3790000","179","21173,18","Meia Praia"
"2595766461","1326000","98","13530,61","Meia Praia"
"2648769282","4355000","170","25617,65","Meia Praia"
"2740234245","1700000","2278","746,27","Casa Branca"
"2650934347","680000","45","15111,11","Meia Praia"
"2564211149","550000","85","6470,59","Morretes"
"2717662035","994000","134","7417,91","Meia Praia"
"2726427250","3940000","213","18497,65","Meia Praia"
"2560637754","550000","90","6111,11","Morretes"
"2560637623","600000","95","6315,79","Morretes"
"2613024538","1135000","87","13045,98","Andorinha"
"2692616573","850000","315","2698,41","Morretes"
"2763645109","780000","69","11304,35","Tabuleiro dos Oliveiras"
"2768649928","711000","70","10157,14","Morretes"
"2595519387","7800000","181","43093,92","Meia Praia"
"2761230715","5381516","195","27597,52","Meia Praia"
"2727371881","1690000","145","11655,17","Castelo Branco"
"2689585215","1180000","95","12421,05","Castelo Branco"
"2677486783","699000","95","7357,89","Morretes"
"2694441578","840000","68","12352,94","Morretes"
"2701997373","6500000","300","21666,67","Sertão do Trombudo"
"2745244713","3600000","157","22929,94","Meia Praia"
"2729114035","1495000","99","15101,01","Canto da Praia"
"2560635210","880000","70","12571,43","Morretes"
"2764631483","1684000","105","16038,1","Meia Praia"
"2761876931","3800000","157","24203,82","Meia Praia"
"2655799061","3042990","185","16448,59","Centro"
"2670479698","940000","69","13623,19","Morretes"
"2692110091","2100000","126","16666,67","Andorinha"
"2764420846","790000","63","12539,68","Jardim Praia Mar"
"2637822656","835000","70","11928,57","Morretes"
"2444182175","1700000","118","14406,78","Andorinha"
"2758556130","2900000","157","18471,34","Meia Praia"
"2599020457","1600000","108","14814,81","Meia Praia"
"2611783663","862000","67","12865,67","Morretes"
"2736812983","2804255","50","56085,1","Centro"
"2764632427","2259781","150","15065,21","Meia Praia"
"2646971455","4950000","173","28612,72","Meia Praia"
"2714720237","1400000","118","11864,41","Centro"
"2685473175","1390000","133","10451,13","Castelo Branco"
"2550758386","660000","70","9428,57","Tabuleiro dos Oliveiras"
"2635689211","1250000","125","10000","Meia Praia"
"2569458101","1400000","138","10144,93","Meia Praia"
"2760452623","1690000","117","14444,44","Centro"
"2561569266","580000","74","7837,84","Morretes"
"2765282136","1007000","81","12432,1","Meia Praia"
"2765169649","1799000","115","15643,48","Castelo Branco"
"2619829320","1549022","165","9388,01","Castelo Branco"
"2646971169","1500000","126","11904,76","Andorinha"
"2645728036","2955500","194","15234,54","Ilhota"
"2632683754","600944","65","9245,29","Morretes"
"2631033182","674000","62","10870,97","Morretes"
"2761121472","3490000","77","45324,68","Centro"
"2720891534","557000","117","4760,68","Sertão do Trombudo"
"2764632548","1550000","127","12204,72","Meia Praia"
"2751984404","490000","60","8166,67","Alto São Bento"
"2629168768","6980000","230","30347,83","Meia Praia"
"2723966274","750000","68","11029,41","Morretes"
"2701238776","450000","70","6428,57","Morretes"
"2571329845","2520000","173","14566,47","Meia Praia"
"2730584254","1350000","124","10887,1","Meia Praia"
"2687811369","1527000","120","12725","Meia Praia"
"2660788406","1490000","200","7450","Castelo Branco"
"2763649242","3650000","189","19312,17","Meia Praia"
"2560637199","550000","70","7857,14","Morretes"
"2744015187","940000","90","10444,44","Castelo Branco"
"2755945353","689000","69","9985,51","Morretes"
"2765264358","1060000","78","13589,74","Meia Praia"
"2726398463","2579000","125","20632","Meia Praia"
"2738805842","1750000","149","11744,97","Centro"
"2518155074","1227000","87","14103,45","Centro"
"2760224016","750000","70","10714,29","Meia Praia"
"2646971266","1300000","252","5158,73","Morretes"
"2745230102","600000","67","8955,22","Jardim Praia Mar"
"2676665114","2400000","1875","1280","Casa Branca"
"2560637335","620000","85","7294,12","Morretes"
"2688539929","850000","400","2125","Casa Branca"
"2761878443","4500000","224","20089,29","Meia Praia"
"2762950725","900000","69","13043,48","Morretes"
"2533607007","2100000","304","6907,89","Castelo Branco"
"2646969723","890000","70","12714,29","Morretes"
"2756649105","915000","56","16339,29","Centro"
"2749536302","694382","69","10063,51","Jardim Praia Mar"
"2560637003","540000","95","5684,21","Morretes"
"2562694069","2310000","120","19250","Meia Praia"
"2764631838","1450000","1445","1003,46","Meia Praia"
"2723276265","1350000","124","10887,1","Castelo Branco"
"2761579418","8630000","205","42097,56","Meia Praia"
"2612685887","807000","69","11695,65","Meia Praia"
"2740287919","3500000","188","18617,02","Meia Praia"
"2693494334","871773","60","14529,55","Morretes"
"2692636068","2200000","135","16296,3","Meia Praia"
"2736416021","850000","90","9444,44","Meia Praia"
"2645785477","2920000","135","21629,63","Meia Praia"
"2746689524","891450","84","10612,5","Morretes"
"2746689523","748125","71","10536,97","Morretes"
"2706362011","2500000","193","12953,37","Meia Praia"
"2560637613","806000","70","11514,29","Morretes"
"2761579815","2600000","156","16666,67","Meia Praia"
"2655964158","1100000","78","14102,56","Andorinha"
"2757201119","1358747","122","11137,27","Andorinha"
"2579392413","750000","70","10714,29","Morretes"
"2603912396","1690000","163","10368,1","Andorinha"
"2581740500","802000","70","11457,14","Morretes"
"2698543208","950000","127","7480,31","Meia Praia"
"2511795506","1335806","115","11615,7","Meia Praia"
"2748954999","850000","87","9770,11","Castelo Branco"
"2736413655","1150000","72","15972,22","Morretes"
"2767255618","3298880","185","17831,78","Andorinha"
"2767580929","1380000","281","4911,03","Morretes"
"2700889302","3800000","158","24050,63","Meia Praia"
"2432459382","3000000","153","19607,84","Meia Praia"
"2711999408","995000","135","7370,37","Meia Praia"
"2764347230","737171","69","10683,64","Alto São Bento"
"2723233256","8733544","417","20943,75","Meia Praia"
"2741520863","869000","130","6684,62","Morretes"
"2765332326","2650000","500","5300","Meia Praia"
"2764631264","1500000","109","13761,47","Meia Praia"
